"","InDegree","OutDegree","AllDegree","InStrength","OutStrength","AllStrength"
"Barney Hull",1,1,2,9,11,20
"Bob Birch",0,1,1,0,1,1
"Carly Heath",1,1,2,10,9,19
"Christina Gallagher",3,2,5,31,26,57
"Claire Underwood",2,4,6,33,35,68
"Diane",1,1,2,1,1,2
"Douglas Stamper",5,5,10,66,79,145
"Drew Coughlin",0,2,2,0,4,4
"Edward Meechum",0,3,3,0,4,4
"Francis Underwood",15,11,26,163,173,336
"Garrett Walker",3,3,6,31,19,50
"Gillian Cole",0,3,3,0,6,6
"Janine Skorsky",3,3,6,33,23,56
"Jim Matthews",6,5,11,36,30,66
"Linda Vasquez",3,3,6,23,28,51
"Lucas Goodwin",1,1,2,5,17,22
"Maggie Wilson",1,2,3,1,4,5
"Nancy Kaufberger",2,2,4,20,14,34
"Nash Aarons",7,3,10,12,3,15
"Peter Russo",8,7,15,102,114,216
"Rachel Posner",2,2,4,30,24,54
"Randy Flint",3,2,5,9,8,17
"VP's Chief of Staff",1,1,2,1,2,3
"Waitress #1",1,2,3,1,2,3
"Walter Doyle",3,3,6,36,37,73
"Zoe Barnes",5,4,9,92,71,163
