"","counts","durations"
"AvgInDegree",1.94736842105263,1.94736842105263
"AvgOutDegree",1.94736842105263,1.94736842105263
"AvgAllDegree",3.89473684210526,3.89473684210526
"AvgInStrength",32.2105263157895,32.7551052631579
"AvgOutStrength",32.2105263157895,32.7551052631579
"AvgAllStrength",64.4210526315789,65.5102105263157
"UndirectedDegreeAssortativity",-0.0762028090447257,-0.0762028090447257
"DirectedDegreeAssortativity",-0.0999147882943719,-0.0999147882943719
"UndirectedStrengthAssortativity",-0.112444444962214,-0.106493333363525
"DirectedStrengthAssortativity",-0.0557562616605207,-0.0541525990198727
"AvgWeight",16.5405405405405,16.8201891891892
