"","InDegree","OutDegree","AllDegree","InStrength","OutStrength","AllStrength"
"Adam Galloway",1,1,2,42.46,53.24,95.7
"Barney Hull",1,1,2,3.92000000000007,3.93200000000024,7.85200000000031
"Carly Heath",0,1,1,0,1.05799999999999,1.05799999999999
"Christina Gallagher",1,1,2,15.29,27.414,42.704
"Claire Underwood",1,1,2,53.24,42.46,95.7
"Desk Officer #1",2,1,3,11.9579999999999,3.29999999999995,15.2579999999998
"Desk Officer #2",0,2,2,0,1.94999999999981,1.94999999999981
"Doorman #1",1,1,2,11.1460000000001,19.747,30.8930000000001
"Douglas Stamper",2,3,5,20.5619999999999,24.6029999999996,45.1649999999996
"Francis Underwood",7,7,14,159.442999999999,165.946,325.388999999999
"Garrett Walker",3,3,6,38.212,55.1480000000002,93.3600000000001
"Janine Skorsky",1,0,1,1.05799999999999,0,1.05799999999999
"Jim Matthews",3,2,5,42.6980000000003,36.3600000000001,79.0580000000004
"Linda Vasquez",2,3,5,42.6300000000001,32.3839999999995,75.0139999999996
"Lucas Goodwin",1,1,2,13.828,8.78999999999996,22.618
"Peter's daughter",1,1,2,24.8009999999999,17.6100000000001,42.411
"Peter Russo",7,5,12,113.596,88.5649999999998,202.160999999999
"unknown",0,1,1,0,1.42599999999993,1.42599999999993
"Zoe Barnes",3,2,5,27.5049999999999,38.414,65.9189999999999
