"","counts","durations"
"AvgInDegree",2.96153846153846,2.96153846153846
"AvgOutDegree",2.96153846153846,2.96153846153846
"AvgAllDegree",5.92307692307692,5.92307692307692
"AvgInStrength",28.6538461538462,30.1292307692308
"AvgOutStrength",28.6538461538462,30.1292307692308
"AvgAllStrength",57.3076923076923,60.2584615384616
"UndirectedDegreeAssortativity",-0.2326107016137,-0.2326107016137
"DirectedDegreeAssortativity",-0.221272801751748,-0.221272801751748
"UndirectedStrengthAssortativity",-0.179927094797549,-0.194802389270565
"DirectedStrengthAssortativity",-0.153741000103526,-0.143126311751828
"AvgWeight",9.67532467532468,10.1735064935065
