"","InDegree","OutDegree","AllDegree","InStrength","OutStrength","AllStrength"
"Aemon",1,3,4,3,8,11
"Alliser Thorne",1,1,2,3,1,4
"Barristan Selmy",4,4,8,10,5,15
"Cersei Lannister",3,3,6,22,45,67
"Daenerys Targaryen",3,3,6,53,29,82
"Drogo",1,2,3,9,15,24
"Eddard Stark",10,11,21,158,69,227
"Grenn",1,0,1,2,0,2
"Jaime Lannister",1,1,2,42,14,56
"Janos Slynt",1,1,2,3,1,4
"Jeor Mormont",2,5,7,5,11,16
"Joffrey Baratheon",3,1,4,8,1,9
"Jon Snow",5,4,9,49,21,70
"Jorah Mormont",4,3,7,30,35,65
"Little Bird",0,1,1,0,5,5
"Luwin",2,2,4,11,10,21
"Osha",2,2,4,31,23,54
"Othell Yarwyck",0,2,2,0,4,4
"Petyr Baelish",2,2,4,26,86,112
"Pycelle",2,0,2,4,0,4
"Pypar",4,2,6,7,8,15
"Rakharo",1,1,2,2,1,3
"Rast",1,0,1,1,0,1
"Renly Baratheon",2,1,3,11,30,41
"Robert Baratheon",2,6,8,4,56,60
"Ros",1,1,2,56,7,63
"Royal Steward",1,1,2,1,4,5
"Samwell Tarly",6,4,10,22,39,61
"Theon Greyjoy",2,2,4,16,25,41
"Tomard",1,1,2,5,1,6
"Tywin Lannister",1,1,2,14,42,56
"Varys",2,2,4,5,8,13
"Wineseller",3,2,5,15,24,39
