"","InDegree","OutDegree","AllDegree","InStrength","OutStrength","AllStrength"
"Aemon",2,2,4,9.22999999999957,30.1819999999998,39.4119999999994
"Alliser Thorne",0,3,3,0,9.26999999999999,9.26999999999999
"Arya Stark",4,4,8,104.279,33.6060000000001,137.885
"Barristan Selmy",2,2,4,32.6400000000001,9.31900000000019,41.9590000000003
"Benjen Stark",3,3,6,21.5459999999998,32.8159999999998,54.3619999999996
"Brandon Stark",2,2,4,32.8399999999999,9.21999999999991,42.0599999999999
"Catelyn Stark",5,5,10,42.7680000000003,36.4079999999997,79.176
"Cersei Lannister",2,2,4,45.7600000000001,41.42,87.1800000000001
"Daenerys Targaryen",4,4,8,28.085,13.4599999999996,41.5449999999996
"Drogo",1,1,2,1.4699999999998,1.65599999999995,3.12599999999975
"Eddard Stark",11,10,21,121.949,113.704,235.653
"Grenn",3,1,4,10.1900000000003,3.6099999999999,13.8000000000002
"Irri",3,3,6,14.4849999999997,18.6749999999993,33.159999999999
"Jaime Lannister",4,4,8,44.3590000000002,57.1390000000003,101.498
"Jeor Mormont",2,2,4,20.1399999999999,15.8019999999997,35.9419999999996
"Joffrey Baratheon",1,1,2,30.95,24.4,55.35
"Jon Snow",4,4,8,33.3449999999996,22.1000000000004,55.4449999999999
"Jorah Mormont",4,3,7,27.6439999999998,31.5220000000004,59.1660000000002
"Jory Cassel",1,1,2,1.179,0.579999999999984,1.75899999999998
"Lancel",1,1,2,11.8600000000001,1.8900000000001,13.7500000000002
"Lancel Lannister",1,0,1,0.980000000000018,0,0.980000000000018
"Mordane",2,3,5,8.07000000000005,7.27999999999985,15.3499999999999
"Nan",2,2,4,6.65999999999985,26.611,33.2709999999999
"Petyr Baelish",3,5,8,28.4599999999998,54.0780000000001,82.5379999999999
"Petyr Baelish man #1",1,1,2,5.36999999999989,4,9.36999999999989
"Pycelle",2,2,4,12.249,14.924,27.173
"Pypar",3,1,4,13.4200000000005,1.90700000000015,15.3270000000007
"Rakharo",4,4,8,24.7940000000004,23.3180000000002,48.1120000000006
"Rast",1,1,2,8.06000000000017,2.51999999999998,10.5800000000001
"Renly Baratheon",2,1,3,9.92999999999995,5.42599999999999,15.3559999999999
"Robb Stark",2,2,4,7.33100000000002,10.9999999999999,18.3309999999999
"Robert Baratheon",3,4,7,10.9590000000003,60.4500000000002,71.4090000000005
"Rodrik Cassel",1,1,2,3.60099999999989,2.45000000000005,6.05099999999994
"Royal Steward",0,1,1,0,5.50999999999999,5.50999999999999
"Sansa Stark",3,2,5,10.4269999999999,4.83299999999997,15.2599999999999
"Syrio Forel",1,1,2,6.38900000000012,52.5520000000001,58.9410000000002
"Tyrion Lannister",7,8,15,83.7829999999993,74.4750000000001,158.257999999999
"Varys",3,2,5,15.0199999999999,17.2300000000002,32.2500000000001
"Viserys Targaryen",1,2,3,2.9989999999998,10.846,13.8449999999998
"Yoren",2,2,4,15.6240000000003,22.6559999999995,38.2799999999998
