"","counts","durations"
"AvgInDegree",2.48979591836735,2.48979591836735
"AvgOutDegree",2.48979591836735,2.48979591836735
"AvgAllDegree",4.97959183673469,4.97959183673469
"AvgInStrength",13.6530612244898,15.9104285714286
"AvgOutStrength",13.6530612244898,15.9104285714286
"AvgAllStrength",27.3061224489796,31.8208571428572
"UndirectedDegreeAssortativity",-0.353414692510171,-0.353414692510171
"DirectedDegreeAssortativity",-0.371407478642999,-0.371407478642999
"UndirectedStrengthAssortativity",-0.223416763256725,-0.262010760881768
"DirectedStrengthAssortativity",-0.19556381125673,-0.207844962123324
"AvgWeight",5.48360655737705,6.39025409836066
