"","InDegree","OutDegree","AllDegree","InStrength","OutStrength","AllStrength"
"Alliser Thorne",0,1,1,0,4.5,4.5
"Arya Stark",3,3,6,24.073,14.663,38.736
"Barristan Selmy",4,4,8,22.46,19.529,41.989
"Brandon Stark",4,4,8,39.3819999999998,23.2889999999998,62.6709999999995
"Bronn",2,2,4,18.1900000000002,12.1199999999999,30.3100000000001
"Catelyn Stark",5,5,10,42.6839999999998,50.3189999999993,93.0029999999991
"Cersei Lannister",4,2,6,34.8000000000003,28.3609999999999,63.1610000000002
"Daenerys Targaryen",6,6,12,43.6310000000001,30.463,74.0940000000001
"Drogo",4,2,6,21.7540000000002,17.902,39.6560000000002
"Eddard Stark",1,1,2,27.97,11.35,39.32
"Hodor",1,1,2,1.63999999999987,0.320000000000164,1.96000000000003
"Jeor Mormont",4,3,7,16.6970000000002,16.1110000000001,32.8080000000004
"Joffrey Baratheon",3,3,6,21.4729999999999,18.7200000000003,40.1930000000002
"Jon Snow",3,3,6,18.9370000000002,9.35600000000023,28.2930000000004
"Jon Umber",4,4,8,19.5099999999997,31.304,50.8139999999998
"Jorah Mormont",1,2,3,9.90000000000009,8.22399999999994,18.124
"Kevan Lannister",2,2,4,8.19599999999991,5.30000000000018,13.4960000000001
"Lannister guardsman #1",2,1,3,7.73900000000003,2.13999999999999,9.87900000000002
"Lannister messenger #1",0,1,1,0,4.42000000000007,4.42000000000007
"Lannister scout #1",1,1,2,6.13000000000011,3.80000000000018,9.93000000000029
"Luwin",1,1,2,9.24000000000001,6.59799999999996,15.838
"Lysa Arryn",2,2,4,15.1999999999999,26.6210000000001,41.8210000000001
"Mago",2,2,4,12.8059999999998,5.11000000000013,17.9159999999999
"Meryn Trant",3,3,6,11.358,8.02500000000001,19.383
"Mirri Maz Duur",3,2,5,5.75600000000009,15.9710000000002,21.7270000000003
"Mordane",1,1,2,6.65300000000002,6.52799999999999,13.181
"Night's Watch messenger",0,1,1,0,3.15000000000009,3.15000000000009
"Osha",1,1,2,6.29899999999998,23.3919999999998,29.6909999999998
"Othell Yarwyck",3,2,5,7.81100000000004,4.42000000000007,12.2310000000001
"Petyr Baelish",1,3,4,3.23000000000002,7.14900000000011,10.3790000000001
"Pycelle",2,3,5,5.03800000000023,13.9680000000002,19.0060000000004
"Pypar",1,1,2,1.37100000000009,2.42000000000007,3.79100000000016
"Qotho",1,3,4,2.77099999999996,14.106,16.877
"Rakharo",1,1,2,3.16000000000008,8.00199999999995,11.162
"Rickon Stark",1,1,2,6,1.84999999999991,7.84999999999991
"Robb Stark",8,8,16,70.9879999999998,60.8900000000003,131.878
"Robin Arryn",1,1,2,5.83100000000013,2.45999999999992,8.29100000000005
"Rodrik Cassel",3,3,6,16.9699999999998,5.59999999999946,22.5699999999993
"Samwell Tarly",4,4,8,7.76000000000022,12.6190000000001,20.3790000000004
"Sandor Clegane",1,1,2,4.07999999999998,1.33999999999998,5.41999999999996
"Sansa Stark",7,6,13,47.772,46.5709999999999,94.3429999999999
"Shagga",2,3,5,28.3099999999999,24.7130000000004,53.0230000000003
"Stableboy",1,1,2,4.863,4.49200000000002,9.35500000000002
"Stark guard #1",1,1,2,1.59000000000015,4.01000000000022,5.60000000000037
"Syrio Forel",3,3,6,11.7959999999999,27.509,39.3049999999999
"Theon Greyjoy",3,3,6,7.23900000000004,8.25,15.489
"Tyrion Lannister",4,4,8,43.1030000000005,58.6449999999995,101.748
"Tywin Lannister",5,3,8,32.6699999999996,25.2710000000002,57.9409999999998
"Varys",2,3,5,14.7799999999998,37.74,52.5199999999998
