"","counts","durations"
"AvgInDegree",3.11764705882353,3.11764705882353
"AvgOutDegree",3.11764705882353,3.11764705882353
"AvgAllDegree",6.23529411764706,6.23529411764706
"AvgInStrength",38.6470588235294,40.4391176470588
"AvgOutStrength",38.6470588235294,40.4391176470588
"AvgAllStrength",77.2941176470588,80.8782352941175
"UndirectedDegreeAssortativity",-0.424501024290313,-0.424501024290313
"DirectedDegreeAssortativity",-0.441698028526016,-0.441698028526016
"UndirectedStrengthAssortativity",-0.26686863626122,-0.295448782155808
"DirectedStrengthAssortativity",-0.274647070215645,-0.297173429176792
"AvgWeight",12.3962264150943,12.971037735849
