"","counts","durations"
"AvgInDegree",3.05882352941176,3.05882352941176
"AvgOutDegree",3.05882352941176,3.05882352941176
"AvgAllDegree",6.11764705882353,6.11764705882353
"AvgInStrength",33.2352941176471,36.9473529411765
"AvgOutStrength",33.2352941176471,36.9473529411765
"AvgAllStrength",66.4705882352941,73.8947058823529
"UndirectedDegreeAssortativity",-0.144525276863909,-0.144525276863909
"DirectedDegreeAssortativity",-0.148390040341428,-0.148390040341428
"UndirectedStrengthAssortativity",-0.109500541265907,-0.0899452657745923
"DirectedStrengthAssortativity",-0.0952246162549259,-0.0868091820302104
"AvgWeight",10.8653846153846,12.0789423076923
