"","InDegree","OutDegree","AllDegree","InStrength","OutStrength","AllStrength"
"Adam Pinkman",3,3,6,15.826,26.508,42.334
"Christian ""Combo"" Ortega",2,2,4,32.57,24.75,57.3199999999999
"Danny's Auto Service Employee #1",1,1,2,7.10399999999981,2.92000000000007,10.0239999999999
"DEA agent #1",0,1,1,0,2.139,2.139
"Dr. Delcavoli",2,2,4,5.95199999999977,33.7980000000002,39.75
"Hank Schrader",6,5,11,44.107,65.3900000000001,109.497
"Jake Pinkman",3,3,6,43.2160000000004,18.1159999999998,61.3320000000002
"Jesse Pinkman",7,7,14,79.4699999999997,135.469000000001,214.939000000001
"Ken",2,1,3,7.17000000000007,7.10399999999981,14.2739999999999
"Marie Schrader",3,4,7,28.098,31.648,59.746
"Mesa Credit Union employee #1",1,1,2,3.9079999999999,3.72300000000018,7.63100000000008
"Mrs. Pinkman",3,3,6,26.019,32.4179999999999,58.4369999999998
"Skinny Pete",2,2,4,28.11,12.1999999999999,40.3099999999999
"Skyler White",5,4,9,79.9619999999999,77.116,157.078
"Steven Gomez",1,1,2,5.79,6.03,11.82
"Walter White",8,9,17,155.493000000001,126.591999999999,282.084999999999
"Walter White Jr.",3,3,6,65.3099999999999,22.1840000000004,87.4940000000003
